date,pm25,pm10,o3,no2,so2,co,AQI
2018-06-25,49,36,11,2,2,7,134
2018-06-26,56,35,12,2,2,6,151
2018-06-27,50,32,12,2,2,6,136
2018-06-28,52,35,12,3,2,6,141
2018-06-29,61,33,17,4,2,6,153
2018-06-30,54,31,16,3,2,5,146
2018-07-01,60,32,16,3,2,6,153
2018-07-02,65,37,13,4,2,6,155
2018-07-03,72,38,13,2,2,7,159
2018-07-04,61,37,14,3,2,6,153
2018-07-05,64,41,15,3,3,6,155
2018-07-06,63,40,13,3,2,6,154
2018-07-07,57,33,13,3,2,6,151
2018-07-08,31,27,13,4,3,6,90
2018-07-09,58,25,12,6,2,6,152
2018-07-10,42,34,13,5,3,7,117
2018-07-11,61,35,13,4,2,7,153
2018-07-12,56,42,11,5,2,7,151
2018-07-13,61,34,11,3,3,6,153
2018-07-14,48,19,13,2,2,5,131
2018-07-15,38,24,13,2,1,5,107
2018-07-16,43,25,14,2,2,5,119
2018-07-17,43,36,14,3,2,5,119
2018-07-18,54,31,15,4,2,6,146
2018-07-19,49,41,16,4,2,6,134
2018-07-20,52,51,16,3,2,6,141
2018-07-21,61,50,15,1,2,6,153
2018-07-22,61,53,12,2,2,7,153
2018-07-23,63,39,12,2,2,6,154
2018-07-24,51,31,13,3,2,6,139
2018-07-25,47,37,11,3,2,6,129
2018-07-26,55,40,14,2,2,7,149
2018-07-27,57,48,14,3,2,7,151
2018-07-28,64,45,14,2,2,7,155
2018-07-29,61,34,12,2,2,7,153
2018-07-30,50,23,12,5,2,8,136
2018-07-31,48,36,11,7,2,9,131
2018-08-01,53,33,15,4,2,7,144
2018-08-02,53,33,13,3,2,8,144
2018-08-03,62,39,13,3,2,8,154
2018-08-04,65,31,14,1,2,9,155
2018-08-05,44,26,12,2,1,8,121
2018-08-06,35,27,14,2,2,8,99
2018-08-07,37,23,13,3,2,9,104
2018-08-08,43,36,13,3,2,10,119
2018-08-09,35,25,13,1,2,9,99
2018-08-10,37,28,15,1,2,9,104
2018-08-11,45,28,14,1,2,9,124
2018-08-12,44,29,13,3,2,12,121
2018-08-13,41,26,14,2,2,11,114
2018-08-14,29,16,14,1,2,6,86
2018-08-15,25,30,13,2,2,11,78
2018-08-16,50,26,12,2,1,9,136
2018-08-17,28,25,14,3,2,11,84
2018-08-18,41,28,15,2,2,12,114
2018-08-19,39,36,13,2,2,15,109
2018-08-20,43,39,11,2,2,14,119
2018-08-21,46,41,15,1,2,9,126
2018-08-22,57,39,15,1,2,8,151
2018-08-23,48,43,19,2,2,9,131
2018-08-24,64,39,18,1,2,14,155
2018-08-25,58,36,17,1,2,21,152
2018-08-26,58,34,17,1,2,24,152
2018-08-27,57,23,17,1,2,19,151
2018-08-28,38,30,16,1,2,7,107
2018-08-29,40,37,17,2,2,5,112
2018-08-30,66,40,14,2,2,7,156
2018-08-31,57,49,17,2,2,6,151
2018-09-01,74,46,18,1,2,6,160
2018-09-02,65,45,18,2,2,6,155
2018-09-03,68,45,20,2,2,6,157
2018-09-04,67,48,19,2,2,6,156
2018-09-05,71,46,17,2,2,6,159
2018-09-06,58,41,16,2,2,7,152
2018-09-07,62,39,19,2,2,6,154
2018-09-08,60,39,19,2,2,6,153
2018-09-09,60,45,16,2,3,3,153
2018-09-10,64,52,22,3,2,6,155
2018-09-11,73,55,25,3,2,7,160
2018-09-12,77,56,20,3,2,7,162
2018-09-13,79,58,21,3,2,8,163
2018-09-14,84,54,22,3,3,6,165
2018-09-15,86,39,21,2,3,6,166
2018-09-16,65,40,17,3,2,6,155
2018-09-17,63,32,14,3,2,6,154
2018-09-18,48,34,15,3,2,6,131
2018-09-19,55,29,16,2,2,7,149
2018-09-20,50,48,18,2,2,7,136
2018-09-21,64,49,17,2,2,7,155
2018-09-22,69,28,15,1,2,5,157
2018-09-23,52,26,17,3,2,7,141
2018-09-24,56,41,21,3,2,7,151
2018-09-25,76,41,20,2,2,7,161
2018-09-26,73,36,27,2,2,8,160
2018-09-27,71,41,18,3,2,8,159
2018-09-28,80,24,20,3,2,8,163
2018-09-29,52,32,19,3,2,7,141
2018-09-30,71,39,16,3,2,9,159
2018-10-01,74,28,14,3,2,7,160
2018-10-02,60,33,14,4,2,9,153
2018-10-03,69,23,13,3,2,6,157
2018-10-04,42,38,3,8,2,8,117
2018-10-05,72,43,3,3,2,9,159
2018-10-06,85,23,3,2,1,8,166
2018-10-07,47,23,3,3,2,8,129
2018-10-08,46,23,4,3,2,8,126
2018-10-09,56,33,5,4,2,9,151
2018-10-10,57,42,3,4,2,9,151
2018-10-11,100,56,6,3,2,8,173
2018-10-12,107,54,4,2,2,7,177
2018-10-13,104,46,3,1,2,8,176
2018-10-14,89,47,2,1,3,8,168
2018-10-15,92,32,3,2,2,8,169
2018-10-16,61,25,5,2,2,8,153
2018-10-17,44,26,4,2,2,6,121
2018-10-18,53,26,3,1,2,8,144
2018-10-19,46,26,3,2,2,8,126
2018-10-20,51,22,3,1,2,6,139
2018-10-21,45,28,3,3,2,8,124
2018-10-22,66,30,3,1,2,7,156
2018-10-23,62,47,3,4,2,11,154
2018-10-24,89,55,3,3,2,11,168
2018-10-25,113,70,7,3,2,12,180
2018-10-26,132,81,10,4,2,12,190
2018-10-27,152,71,6,2,2,9,202
2018-10-28,143,64,5,1,2,10,196
2018-10-29,130,68,13,1,2,10,189
2018-10-30,136,64,8,1,2,9,192
2018-10-31,126,54,2,3,2,10,187
2018-11-01,108,60,10,4,2,13,178
2018-11-02,115,23,59,3,2,8,181
2018-11-03,42,23,59,3,2,8,117
2018-11-04,42,91,13,7,7,14,117
2018-11-05,162,61,26,2,3,10,212
2018-11-06,120,52,27,5,4,12,184
2018-11-07,110,58,30,5,3,14,179
2018-11-08,125,52,24,2,3,12,186
2018-11-09,113,46,33,2,5,12,180
2018-11-10,98,47,27,1,2,10,172
2018-11-11,102,53,34,2,8,10,175
2018-11-12,122,50,34,2,1,9,185
2018-11-13,115,66,35,2,2,11,181
2018-11-14,148,75,41,2,2,12,198
2018-11-15,159,59,40,2,2,9,209
2018-11-16,138,60,32,3,2,11,193
2018-11-17,127,54,26,1,3,10,187
2018-11-18,123,42,24,1,7,10,185
2018-11-19,95,31,23,2,3,10,171
2018-11-20,64,32,29,3,2,10,155
2018-11-21,69,43,26,2,2,11,157
2018-11-22,91,44,26,2,6,10,169
2018-11-23,92,34,23,2,3,11,169
2018-11-24,66,38,27,1,2,10,156
2018-11-25,84,64,30,3,7,12,165
2018-11-26,137,77,34,5,4,13,193
2018-11-27,158,79,51,3,8,14,208
2018-11-28,162,69,31,4,6,16,212
2018-11-29,149,46,27,3,4,15,199
2018-11-30,99,56,25,3,8,17,173
2018-12-01,146,58,29,2,7,14,197
2018-12-02,146,57,34,3,4,14,197
2018-12-03,115,67,24,3,2,17,181
2018-12-04,146,58,19,1,1,15,197
2018-12-05,138,63,8,7,4,19,193
2018-12-06,140,47,24,2,2,15,194
2018-12-07,106,41,27,3,11,15,177
2018-12-08,85,64,30,3,3,16,166
